### ------ Monitor Board Parameters ------- ###
Time stamp: Start: 2024-10-31-18-07-54
udc9090-VOUT[V] = 11.982 (V) - Volt
udc9090-IOUT[A] = 1.484 (A) - Ampere
udc9090-Temperature Ext[C] = 32.938 (C) - Celsius
isl8273m-U47 IOUT[A] = 5.086 (A) - Ampere
isl8273m-U47 VOUT[V] = 0.953 (V) - Volt
isl8273m-U48 IOUT[A] = 4.938 (A) - Ampere
isl8273m-U48 VOUT[V] = 0.951 (V) - Volt
udc9090-VOUT[V] = 11.982 (V) - Volt
udc9090-IOUT[A] = 1.484 (A) - Ampere
udc9090-Temperature Ext[C] = 33.000 (C) - Celsius
isl8273m-U47 IOUT[A] = 6.023 (A) - Ampere
isl8273m-U47 VOUT[V] = 11.514 (V) - Volt
isl8273m-U48 IOUT[A] = 4.000 (A) - Ampere
isl8273m-U48 VOUT[V] = 0.953 (V) - Volt
udc9090-VOUT[V] = 11.977 (V) - Volt
udc9090-IOUT[A] = 1.484 (A) - Ampere
udc9090-Temperature Ext[C] = 32.938 (C) - Celsius
isl8273m-U47 IOUT[A] = 6.414 (A) - Ampere
isl8273m-U47 VOUT[V] = 0.951 (V) - Volt
isl8273m-U48 IOUT[A] = 3.523 (A) - Ampere
isl8273m-U48 VOUT[V] = 0.951 (V) - Volt
udc9090-VOUT[V] = 11.982 (V) - Volt
udc9090-IOUT[A] = 1.484 (A) - Ampere
udc9090-Temperature Ext[C] = 32.938 (C) - Celsius
isl8273m-U47 IOUT[A] = 6.742 (A) - Ampere
isl8273m-U47 VOUT[V] = 0.936 (V) - Volt
isl8273m-U48 IOUT[A] = 3.012 (A) - Ampere
isl8273m-U48 VOUT[V] = 0.953 (V) - Volt
udc9090-VOUT[V] = 11.971 (V) - Volt
udc9090-IOUT[A] = 1.500 (A) - Ampere
udc9090-Temperature Ext[C] = 32.938 (C) - Celsius
isl8273m-U47 IOUT[A] = 6.602 (A) - Ampere
isl8273m-U47 VOUT[V] = 0.936 (V) - Volt
isl8273m-U48 IOUT[A] = 3.609 (A) - Ampere
isl8273m-U48 VOUT[V] = 0.951 (V) - Volt
udc9090-VOUT[V] = 11.977 (V) - Volt
udc9090-IOUT[A] = 1.484 (A) - Ampere
udc9090-Temperature Ext[C] = 32.938 (C) - Celsius
isl8273m-U47 IOUT[A] = 6.344 (A) - Ampere
isl8273m-U47 VOUT[V] = 0.953 (V) - Volt
isl8273m-U48 IOUT[A] = 3.715 (A) - Ampere
isl8273m-U48 VOUT[V] = 0.951 (V) - Volt
udc9090-VOUT[V] = 11.982 (V) - Volt
udc9090-IOUT[A] = 1.531 (A) - Ampere
udc9090-Temperature Ext[C] = 32.938 (C) - Celsius
isl8273m-U47 IOUT[A] = 6.672 (A) - Ampere
isl8273m-U47 VOUT[V] = 0.953 (V) - Volt
isl8273m-U48 IOUT[A] = 3.594 (A) - Ampere
isl8273m-U48 VOUT[V] = 0.953 (V) - Volt
udc9090-VOUT[V] = 12.038 (V) - Volt
udc9090-IOUT[A] = 1.500 (A) - Ampere
udc9090-Temperature Ext[C] = 32.938 (C) - Celsius
isl8273m-U47 IOUT[A] = 6.078 (A) - Ampere
isl8273m-U47 VOUT[V] = 0.953 (V) - Volt
isl8273m-U48 IOUT[A] = 4.008 (A) - Ampere
isl8273m-U48 VOUT[V] = 0.953 (V) - Volt
udc9090-VOUT[V] = 11.982 (V) - Volt
udc9090-IOUT[A] = 1.484 (A) - Ampere
udc9090-Temperature Ext[C] = 33.000 (C) - Celsius
isl8273m-U47 IOUT[A] = 5.992 (A) - Ampere
isl8273m-U47 VOUT[V] = 0.938 (V) - Volt
isl8273m-U48 IOUT[A] = 4.461 (A) - Ampere
isl8273m-U48 VOUT[V] = 0.951 (V) - Volt
udc9090-VOUT[V] = 12.038 (V) - Volt
udc9090-IOUT[A] = 1.500 (A) - Ampere
udc9090-Temperature Ext[C] = 32.938 (C) - Celsius
isl8273m-U47 IOUT[A] = 5.172 (A) - Ampere
isl8273m-U47 VOUT[V] = 0.951 (V) - Volt
isl8273m-U48 IOUT[A] = 4.742 (A) - Ampere
isl8273m-U48 VOUT[V] = 0.953 (V) - Volt
udc9090-VOUT[V] = 11.985 (V) - Volt
udc9090-IOUT[A] = 1.516 (A) - Ampere
udc9090-Temperature Ext[C] = 32.875 (C) - Celsius
isl8273m-U47 IOUT[A] = 7.250 (A) - Ampere
isl8273m-U47 VOUT[V] = 0.953 (V) - Volt
isl8273m-U48 IOUT[A] = 2.965 (A) - Ampere
