0,ACT,0,0,0,0,0
13,RD,0,0,0,0,0,0x0001020304050607
31,RD,0,0,0,0,0,0x0101020304050607
49,RD,0,0,0,0,0,0x0201020304050607
67,RD,0,0,0,0,0,0x0301020304050607
85,RD,0,0,0,0,0,0x0401020304050607
103,RD,0,0,0,0,0,0x0501020304050607
121,RD,0,0,0,0,0,0x0601020304050607
139,RD,0,0,0,0,0,0x0701020304050607
157,RD,0,0,0,0,0,0x0801020304050607
175,RD,0,0,0,0,0,0x0901020304050607
193,RD,0,0,0,0,0,0x0a01020304050607
211,RD,0,0,0,0,0,0x0b01020304050607
229,RD,0,0,0,0,0,0x0c01020304050607
247,RD,0,0,0,0,0,0x0d01020304050607
265,RD,0,0,0,0,0,0x0e01020304050607
283,RD,0,0,0,0,0,0x0f01020304050607
301,RD,0,0,0,0,0,0x1001020304050607
319,RD,0,0,0,0,0,0x1101020304050607
337,RD,0,0,0,0,0,0x1201020304050607
355,RD,0,0,0,0,0,0x1301020304050607
373,RD,0,0,0,0,0,0x1401020304050607
391,RD,0,0,0,0,0,0x1501020304050607
409,RD,0,0,0,0,0,0x1601020304050607
427,RD,0,0,0,0,0,0x1701020304050607
445,RD,0,0,0,0,0,0x1801020304050607
463,RD,0,0,0,0,0,0x1901020304050607
481,RD,0,0,0,0,0,0x1a01020304050607
499,RD,0,0,0,0,0,0x1b01020304050607
517,RD,0,0,0,0,0,0x1c01020304050607
535,RD,0,0,0,0,0,0x1d01020304050607
553,RD,0,0,0,0,0,0x1e01020304050607
571,RD,0,0,0,0,0,0x1f01020304050607
589,PRE,0,0,0,0,0
599,ACT,0,0,1,1,0
612,RD,0,0,1,1,0,0x2001020304050607
630,RD,0,0,1,1,0,0x2101020304050607
648,RD,0,0,1,1,0,0x2201020304050607
666,RD,0,0,1,1,0,0x2301020304050607
684,RD,0,0,1,1,0,0x2401020304050607
702,RD,0,0,1,1,0,0x2501020304050607
720,RD,0,0,1,1,0,0x2601020304050607
738,RD,0,0,1,1,0,0x2701020304050607
756,RD,0,0,1,1,0,0x2801020304050607
774,RD,0,0,1,1,0,0x2901020304050607
792,RD,0,0,1,1,0,0x2a01020304050607
810,RD,0,0,1,1,0,0x2b01020304050607
828,RD,0,0,1,1,0,0x2c01020304050607
846,RD,0,0,1,1,0,0x2d01020304050607
864,RD,0,0,1,1,0,0x2e01020304050607
882,RD,0,0,1,1,0,0x2f01020304050607
900,RD,0,0,1,1,0,0x3001020304050607
918,RD,0,0,1,1,0,0x3101020304050607
936,RD,0,0,1,1,0,0x3201020304050607
954,RD,0,0,1,1,0,0x3301020304050607
972,RD,0,0,1,1,0,0x3401020304050607
990,RD,0,0,1,1,0,0x3501020304050607
1008,RD,0,0,1,1,0,0x3601020304050607
1026,RD,0,0,1,1,0,0x3701020304050607
1044,RD,0,0,1,1,0,0x3801020304050607
1062,RD,0,0,1,1,0,0x3901020304050607
1080,RD,0,0,1,1,0,0x3a01020304050607
1098,RD,0,0,1,1,0,0x3b01020304050607
1116,RD,0,0,1,1,0,0x3c01020304050607
1134,RD,0,0,1,1,0,0x3d01020304050607
1152,RD,0,0,1,1,0,0x3e01020304050607
1170,RD,0,0,1,1,0,0x3f01020304050607
1179,PRE,0,0,1,1,0
1199,END,0,0,0,0,0
